Company Name,Slogan,Amount Raised,Year,Stage,Business Model,Image URL,Full Description,PDF URL,Investors,About,Industry,Tags,Customer Model,Website,Legal Name,Type
Modulr,"Modulr is a UK-based fintech startup that provides a ""Payments-as-a-Service"" API for digital businesses. Modulr raised $108M in 2022 with this deck.",$108M,2022,Series A,B2B,https://logo.clearbit.com/www.modulrfinance.com,"Modulr offers Payments-as-a-Service which automates payment flows, embeds payments in other platforms and enables customers to launch entirely new services. Most notably, their platform has offers the unique benefit of direct access to the Bank of England, allowing Modulr to settle funds at the UKâs central bank.The company's clients include more than 200 companies, including Revolut, Wagestream, Sage and BrightPay, and their millions of customers.Modulr raised $108M (Â£83M) in Series C funding led by General Atlantic, and existing investors, with the goal of becoming the leading provider of embedded payments to digital businesses across the UK and Europe.",https://drive.google.com/file/d/1pfr3aWSZoSB_EgOT3087_iiFLitr2i2A/preview?usp=drivesdk,"General Atlantic, Blenheim Chalcot, Frog Capital, Highland Europe, PayPal Ventures","Modulr is a UK-based fintech startup that provides a """"Payments-as-a-Service"""" API for digital businesses.",Fintech,SaaS,B2B,www.modulrfinance.com,Modulr,ST
AI Rudder,AI Rudder is a software company that harnesses the power of AI voice automation to supercharge customer experiences. AI Rudder raised $50M in 2022 with this deck.,$50M,2022,Series B,B2B,https://logo.clearbit.com/airudder.com,"AI Rudder develops AI-powered voice solutions to improve B2C communications and help call centers reduce costs by automating repetitive tasks and lowering agent workload.Founded in 2019, AI Rudder develops advanced voice AI technology to help businesses solve B2C communication challenges across a range of different industries, including banking and finance, fintech, insurance and e-commerce.The startup claims that its client list has grown to more than 200 since launching three years ago and revenue quadrupled last year alone, though they havenât shared specific figures.The Singapore-based enterprise voice AI startup closed a $50 million Series B funding round led by Tiger Global and Coatue with this 8-slide pitch deck. The new investment comes just four months after AI Rudder closed a Sequoia Capital India-led $10 million round.",https://drive.google.com/file/d/1KiPGos9tc4hCNJfEpF6T0n5mTPV8yICE/preview?usp=drivesdk,VC,AI Rudder is a software company that harnesses the power of AI voice automation to supercharge customer experiences.,Software,SaaS,B2B,airudder.com,AI Rudder,ST
BlueOcean,BlueOcean's leading AI-powered brand decision platform focuses on delivering strategic insights and recommendations for executive leadership. BlueOcean raised $30M in 2022 with this deck.,$30M,2022,Series B,B2B,https://logo.clearbit.com/www.blueocean.ai,"San Francisco-based BlueOcean provides an AI-powered cloud platform that helps companies track their brand awareness and monitor related marketing metrics. For example, a retailer could use the platform to measure the brand awareness around a newly launched product line.The company launched out of stealth in 2020 (after two years in development) to provide AI-driven brand audits for just $17,000 in seven days. After raising a $15M Series A, the team grew from 11 to 100 employees in 12 months and the company scaled up to serve 84 global brands â representing $18 trillion in market value. Although their revenue numbers are not public, the startup claims to have grown greater than three times continuously.In 2022, BlueOcean raised $30 million in fresh funding led by Insight Partners, with participation from FJ Partners.",https://drive.google.com/file/d/1ZL3441Dar7IT2hYw-pv7qjqVt3VGP5s0/preview?usp=drivesdk,VC,BlueOcean's leading AI-powered brand decision platform focuses on delivering strategic insights and recommendations for executive leadership.,Software,SaaS,B2B,www.blueocean.ai,BlueOcean,ST
Paddle,"Paddle is a UK startup that offers software companies a single platform for the entire software sales process — including trials and licenses, payments, and analytics. Paddle raised $200M in 2022 with this deck.",$200M,2022,Series D,B2B,https://logo.clearbit.com/paddle.com,"Paddle is a revenue delivery platform, which allows B2B SaaS businesses to amalgamate their workflow and become more efficient at selling digital products and subscriptions. The UK-based company is on a mission to take away the pain of payments fragmentation in a unique way, by serving as the merchant of record for software & SaaS companies.Paddle handles all payment routing, tax collection, compliance, invoicing, subscription management, renewals, reporting, and fraud protection. The startup was founded in 2012 by CEO Christian Owens and co-founder Harrison Rose, who wanted to make it easier for software companies to sell their products.In 2022, Paddle raised $200m in Series D equity and debt financing at a valuation of $1.4bn, making it the UK's latest unicorn. The Series D investment â led by KKR with participation from previous backers FTV Capital, 83North, Notion Capital, Kindred Capital, brings the company's total financing to $293 million.",https://drive.google.com/file/d/16v3yOE-JI4VF3xuoDM6hRnOlJbNmFGlm/preview?usp=drivesdk,VC,"Paddle is a U.K. startup that offers software companies a single platform for the entire software sales process â including trials and licenses, payments, and analytics",Software,SaaS,B2B,paddle.com,Paddle,ST
Hello Heart,The Hello Heart app uses behavioral science to helps people make better lifestyle choices. Hello Heart raised $70M in 2022 with this deck.,$70M,2022,Series D,B2B2C,https://logo.clearbit.com/www.helloheart.com,"With Hello Heart, people can better track & improve their heart health. Their AI-powered technology helps people manage their heart health at home using their smartphone.Hello Heart's clinically-based solution is aimed at people with high blood pressure, with the mission of empowering people to understand and manage their heart health. Founded in 2013, Hello Heart is a member of the American Heart Association's Innovators' Network and part of the CVS Health Point Solutions Management Program. Hello Heart snagged $70 million in Series D capital in early 2022, led by growth equity firm Stripes.",https://drive.google.com/file/d/19kWki2UPf1WSkGh0NKSf33NNlH4goIhf/preview?usp=drivesdk,VC,"The Hello Heart app uses behavioral science to helps people make better lifestyle choices. The mobile app tracks blood pressure, sends medication reminders, and provides wellness tips so users form healthier habits that can help reduce the risks of high blood pressure and heart disease.",Healthcare,SaaS,B2B2C,www.helloheart.com,Hello Heart,ST
OurSong,"OurSong is a consumer social NFT platform that allows users to easily discover, create, and trade NFTs while building social followings and digital communities. OurSong raised $7.5M in 2022 with this deck.",$7.5M,2022,Seed,B2C,https://logo.clearbit.com/www.oursong.com,"OurSong began as a research project at the Ideation Lab of Taiwan's leading media technology company, KKBOX Group. The company was launched by 12-time Grammy winner John Legend and a team of five co-founders seeking to build a better system for creators to be discovered, monetize their work, and engage with fans through NFTs.Their mobile app aims to build a community for digital art creators and artists by leveraging NFTs to help them gain fans and earn from their creative works. In April 2022, the company announced it raised $7.5 million in seed funding led by Infinity Ventures and Animoca Brand.",https://drive.google.com/file/d/1JErJ9h6SP9zNz_beEUtwUnxp2wYfDM7j/preview?usp=drivesdk,VC,"OurSong is a consumer social NFT platform that allows users to easily discover, create, and trade NFTs while building social followings and digital communities.",Crypto,SaaS,B2C,www.oursong.com,OurSong,ST
Juno,"Juno provides workplace health and wellbeing programs to help employees to work more joyfully and productively, solve problems creatively and collaborate with a shared purpose. Juno raised $4M in 2022 with this deck.",$4M,2022,Series A,B2B,https://logo.clearbit.com/www.withjuno.com,"Juno is a global employee benefits platform that allows employees to use their employer-provided Juno Points to purchase a variety of services and products for their well-being, ranging from organic vegetable boxes to therapy sessions and language classes.Over 160 companies in 40 countries are already using the platform, including Bolt, Oyster, Born Social, and Paddle. Their user base increased tenfold last year: Juno is now the world's largest employee wellness program of its kind.Juno recently announced that it has raised $4 million in a round led by Hoxton Ventures and joined by angels including Juno early adopters Tony Jamous, CEO of OysterHR, and Christian Owens, CEO of Paddle. Other angel investors include the CEOs of Learnerbly, Captify, Jungle Creations, SuperAwesome, and Heights.",https://drive.google.com/file/d/19kWki2UPf1WSkGh0NKSf33NNlH4goIhf/preview,VC,"Juno provides workplace health and wellbeing programs to help employees to work more joyfully and productively, solve problems creatively and collaborate with a shared purpose.",Healthcare,SaaS,B2B,www.withjuno.com,Juno,ST
Thunkable,Thunkable is a drag-and-drop programming tool that makes it easy to quickly create powerful mobile apps with no-code. Thunkable raised $30M in 2022 with this deck.,$30M,2022,Series B,B2B2C,https://logo.clearbit.com/thunkable.com,"Thunkable (alumnus of MIT's App Inventor and Y-Combinator) is a no-code platform that empowers non-technical users to build powerful native apps. With Thunkable, anyone can design and code: simply drag-and-drop to create fast, native, reliable apps.Thunkable raised a $30 million Series B round, led by Owl Ventures, Lightspeed Venture Partners, and PJC.",https://drive.google.com/file/d/1PoQhrvG-bJnnsoXG045-DB2vTv8IfbtR/preview,VC,Thunkable is a drag-and-drop programming tool that makes it easy to create powerful mobile apps faster. Their no-code platform empowers individuals to build native mobile apps for any operating system without writing a single line of code.,Software,SaaS,B2B2C,thunkable.com,Thunkable,ST
Starburst,"Starburst is the company behind the open-source Presto-based SQL query engine Trino, which promises faster, decentralized data analytics. Starburst raised $250M in 2022 with this deck.",$250M,2022,Series D,B2B,https://logo.clearbit.com/starburst.io,"Starburst is betting on a decentralized future of big data and pursuing an unconventional view in the burgeoning data industry, which is currently dominated by the cloud data behemoth Snowflake. Starburst promises the ability to run analytics on data from a variety of sources simultaneously, without needing to extract or transform data so it can be loaded into a single destination data warehouse. The company announced in Feb 2022 that it raised $250 million from Alkeon Capital, nearly tripling its valuation to $3.35 billion.",https://drive.google.com/file/d/1id_ZzD5YgJQVShPCnHcOKfMUzG8lR7ey/preview?usp=drivesdk,VC,"Starburst is the company behind the open-source Presto-based SQL query engine Trino, which promises faster, decentralized data analytics. Their cutting-edge data analytics platform powers leading brands across the globe, including Zillow, Standard Chartered, and Carrefour Brazil. Starburst's fully-managed cross-cloud analytics product makes it easier to query data hosted on any public cloud and aims to address the limitations of data silos & speed of access.",SaaS,SaaS,B2B,starburst.io,Starburst,ST
Nord Security,Nord is the self-proclaimed leading provider of online privacy and security tools with 15 million users worldwide. Nord Security raised $100M in 2022 with this deck.,$100M,2022,Series A,B2B2C,https://logo.clearbit.com/nordsecurity.com,"Founded in 2012 by Tom Okman and Eimantas Sabaliauskas, Nord Security was created as an internet security and privacy platform that was easily accessible to everyone. The company provides a host of cybersecurity products for businesses & individuals, and has enjoyed robust year-on-year growth as the market leader in the cybersecurity space.The company raised $100 million in it's first round of external funding led by Novator, Burda Principal Investments, General Catalyst, and individuals including Ilkka Paananen of Supercell, Miki Kuusi of Wolt, and Matt Mullenweg of Automattic also participating. This round of financing values the startup at $1.6 billion; the funds will be used to hire more staff, invest in research and expand the Nord product suite.",https://drive.google.com/file/d/1aNnWS1HIV6hU71KBe8sl4JrHu_mZSpEf/preview?usp=drivesdk,VC,Nord is the self-proclaimed leading provider of online privacy and security tools with 15 million users worldwide.The internet privacy and security provider offers a portfolio of products for individuals and businesses including NordVPN and Surfshark consumer solutions.,Software,SaaS,B2B2C,nordsecurity.com,Nord Security,ST
Sano Genetics,"Sano Genetics is a personalised medicine research platform, with a focus on data privacy and transparency. Sano Genetics raised $11M in 2022 with this deck.",$11M,2022,Series A,B2B2C,https://logo.clearbit.com/sanogenetics.com,"Sano has created a data-sharing platform that allows anyone to contribute their medical and genetic data in order to be matched with clinical research. To speed up genetic illness research, the company also provides free genomic sequencing and analysis to those who participate in its associated research programs.The Cambridge-based genetics startup has doubled its revenue every six months since its inception in 2017 and forged strong partnerships with the top genetic biobanks in the UK and Australia, as well as patient groups.This growth led to a recent $11 million Series A round led by MMC Ventures, with participation from Episode 1, Seedcamp, and angels including Paul Forster, co-founder and ex-CEO of Indeed, former VP of innovation at PatientsLikeMe Paul Wicks, and former CEO of Ancestry.com Margo Georgiadis.",https://drive.google.com/file/d/1CwGfwoIDHR95LnZIuxd-McXUG0E8-Sdm/preview?usp=drivesdk,"VC, Angel Investor","Sano Genetics is a personalised medicine research platform, with a focus on data privacy and transparency. Their user-centric genetic data marketplace connects individuals directly to the research world, acting as ethical brokers to facilitate a direct connection between patients and research institutions.",Healthcare,"Healthcare, Medical",B2B2C,sanogenetics.com,Sano Genetics,ST
Ark Kapital,Ark Kapital is a precision financing company that empowers technology startups to grow faster with AI-powered flexible early-stage capital. Ark Kapital raised $182M in 2022 with this deck.,$182M,2022,Series A,B2B,https://logo.clearbit.com/www.arkkapital.com,"Ark Kapital is a data-driven precision financing company that helps early-stage startups thrive by providing long-term loans while keeping founders in control and lowering the risk for investors.The Swedish-based startup, which was launched in 2021, analyses the financial health of early-stage tech businesses using AI and machine learning and provides precise loans based on their performance.Ark Kapital announced that it has raised $182 million in a mix of debt and equity funding. The round was led by Local Globe, with participation from Creandum and angel investors including Supercell CEO Ilkka Paananen, iZettle founder Jacob de Geer, and EQT Ventures founding partner Hjalmar Winbladh.According to the company, the new capital will be used for investing in promising companies, R&D, and doubling the 20-person team within 2022.",https://drive.google.com/file/d/1r7TpE82FJ1Se24uNSnPKtOMyTVTNgGTG/preview?usp=drivesdk,VC,Ark Kapital is a precision financing company that empowers technology startups to grow faster with AI-powered flexible early-stage capital.,Fintech,"SaaS, Venture Capital",B2B,www.arkkapital.com,Ark Kapital,ST
Secureframe,"Secureframe is a provider of compliance automation software that streamlines SOC 2, ISO 27001, PCI DSS, and HIPAA compliance to help businesses become enterprise-ready. Secureframe raised $56M in 2022 with this deck.",$56M,2022,Series B,B2B,https://logo.clearbit.com/secureframe.com,"Hundreds of companiesâfrom startups to enterprisesâuse Secureframe to automate their SOC 2, ISO 27001, PCI DSS, and HIPAA compliance. Secureframe provides continual compliance monitoring in addition to automatic compliance, ensuring that service providers securely manage data to safeguard the organization's interests and the privacy of its clients.The company's annual recurring revenue increased by 10x in 2021, while its customer base increased by 7x. Some of the customers include Stream, Dooly, Lob, Ramp, Instabase, Slab, and Doodle, among others. Secureframe's growth can be credited to the platform's ease of use, which connects with over 100 major business applications to scan for compliance-related issues; procedures that could take up to eight weeks can be reduced to days or even shorter with its capabilities.",https://drive.google.com/file/d/1cZx3ttIPQhYvYIEBn2KLR-ayUE35yWJd/preview?usp=drivesdk,VC,"Secureframe is a provider of compliance automation software that streamlines SOC 2, ISO 27001, PCI DSS, and HIPAA compliance to help businesses become enterprise-ready.",Software,SaaS,B2B,secureframe.com,Secureframe,ST
Amagi,Amagi Media Labs is a tech and media startup that facilitates the geographic targeting of TV advertisements. Amagi raised $95M in 2022 with this deck.,$95M,2022,Series F,B2B2C,https://logo.clearbit.com/www.amagi.com,"Amagi Media Labs is an Indian cloud broadcast and targeted advertising startup that helps content owners build their own channels and distribute them to Ad-supported video on demand (AVOD) platforms like Samsung TV Plus, The Roku Channel, and Pluto TV.They also offer 24Ã7 cloud-managed services bringing simplicity, advanced automation, and transparency to the entire broadcast operations for traditional TV networks. Amagi Media Labs started as a small SaaS startup in India in 2008, with its sights set on the rapidly growing streaming sector. Currently, Amagi works with 500+ content brands, managing 2000+ channel deliveries, with deployments in over 40 countries.",https://drive.google.com/file/d/14DT03xx3lYvfOX76D2ybOoDLSl-OLp-J/preview?usp=drivesdk,VC,"Amagi Media Labs is a tech and media startup that facilitates the geographic targeting of TV advertisements. Their new TV-media advertising platform delivers cost-effective, targeted, and result-oriented services.",Software,SaaS,B2B2C,www.amagi.com,Amagi,ST
Bubble,Bubble is a cloud-based visual programming language and no-code development platform for creating web and mobile applications. Bubble raised $100M in 2021 with this deck.,$100M,2021,Series A,B2B2C,https://logo.clearbit.com/bubble.com,"Using Bubble, users can create web and mobile applications with no previous coding experience. The company aims to make hand-coding for web applications virtually obsolete.Bubble's no-code development platform is used to build websites and applications with more advanced functionality than what is possible with older website builders such as Wix and Squarespace. Bubble can be used to build web applications such as social media sites like Twitter, marketplaces like Airbnb and Uber, and other services like Instacart.After 7 years of bootstrapping and tinkering with the product, co-founders Emmanuel Straschnov and Josh Haas secured a $6.5 million seed round in June 2019 led by SignalFire. The company announced in 2021 that Ryan Hinkle of Insight Partners led its $100 million Series A funding.",https://drive.google.com/file/d/1WPB3XM-D2rgxT9dmcmMWA8FVUq56c3kV/preview,VC,"Bubble is a cloud-based visual programming language and no-code development platform for creating web and mobile applications. The company raised a $100M Series A in 2021, led by Insight Partners.",Software,SaaS,B2B2C,bubble.com,Bubble,ST
Yuga Labs,Yuga Labs is the creator of Bored Ape Yacht Club and owner of the most valuable NFT projects on the market (over $3B in trading volume). Yuga Labs raised $450M in 2022 with this deck.,$450M,2022,Series A,B2C,https://logo.clearbit.com/www.yugalabs.io,"Yuga Labs, the company that created the wildly popular Bored Ape Yacht Club NFT collection, is hoping to make hundreds of millions of dollars by selling off virtual plots of land. According to a leaked pitch deck obtained by The Block, the company also plans to launch a sweeping new metaverse initiative, as well as its own token.",https://drive.google.com/file/d/1BQB_y1E5XgVv9kzEBHgxqczOtA5Ev49k/preview,$4B,Yuga Labs is the creator of Bored Ape Yacht Club and owner of the most valuable NFT projects on the market (over $3B in trading volume).,Crypto,Crypto,B2C,www.yugalabs.io,Yuga Labs,ST
Almost Friday,"Almost Friday is a media platform, production company, and lifestyle brand. Almost Friday raised $6M in 2022 with this deck.",$6M,2022,Seed,B2B2C,https://logo.clearbit.com/almostfriday.com,"Friday Beers began as an Instagram account in late 2019 by brothers Jack, Max, and Sam Barrett, and grew in prominence as a relatable voice in the weekend culture, sports, music, and character-driven humor. The Venice Beach-based company, which employs 15 full-timers, has been profitable every quarter since its beginning, thanks exclusively to organic growth. Today, Almost Friday has many business lines, each of which generates over $1 million in yearly revenue. 

Friday Beers rebranded as Almost Friday Media after raising $6 million in seed funding from a group of investors led by former AOL CEO Tim Armstrong and finance executive Robert Greenhill, Jr. Other investors included Lloyd Danzigâs Sharp Alpha Advisors, Northern Right Capitalâs Matt Drapkin, Dreamscape Hospitalityâs Scott Broder, Tom Ellis, Eric Birnbaum, and Jimmy Miller, founder of Mosaic Media Group.",https://drive.google.com/file/d/1b3uptHYY7XjRqtuieqGtf2ztFv1KG7cW/preview,VC,"Almost Friday is a media platform, production company, and lifestyle brand. Originally Friday Beers, the company began as an Instagram account in late 2019 by brothers Jack, Max, and Sam Barrett, and grew in prominence as a relatable voice in the weekend culture, sports, music, and character-driven humor.",Social Media,"Social Media, Marketing",B2B2C,almostfriday.com,Almost Friday,ST
Claap,"Claap is an asynchronous meeting platform for video and collaboration which bills itself as the remote working equivalent of the “quick hallway catch-up”, and integrates with other workplace tools such as Trello or Jira. Claap raised $3M in 2022 with this deck.",$3M,2022,Seed,B2B2C,https://logo.clearbit.com/www.claap.io,"Claap is an asynchronous meeting platform for video and collaboration. Claap says its product allows employees to record a short video update on a topic, allow others to comment on the relevant part, and set a due date for team members to respond. Colleagues then view the video and respond in their own time.",https://drive.google.com/file/d/1PTMX-O0zlLyBQ2iCoEf83XHP-UR930xN/preview?usp=drivesdk,VC,"Claap is an asynchronous meeting platform for video and collaboration which bills itself as the remote working equivalent of the âquick hallway catch-upâ, and integrates with other workplace tools such as Trello or Jira. The company was able to raise pre-product, closing a $3M pre-seed with Headline, LocalGlobe and 30 business angels after having received around 20 term sheets in just 3 weeks.",Software,SaaS,B2B2C,www.claap.io,Claap,ST
Chartmetric,"Chartmetric provides robust data, powerful visualizations, in-depth insights, unique tools, and rockstar customer service to help the music industry make smarter and faster choices. Chartmetric raised $2M in 2021 with this deck.",$2M,2021,Seed,B2C,https://logo.clearbit.com/chartmetric.com,"Chartmetric raised $2 million in seed funding for their music data and analytics platform. The company is seeking to build the first independent music analytics platform for artists â whereas most of their competitors are tied to music platforms (for instance, Spotify has its own in-depth metrics and analysis, while music analytics firm Next Big Sound was acquired by Pandora). Chartmetric provides data from a variety of sources, including Spotify, Apple Music, and Amazon Music, as well as TikTok, YouTube, and even Instagram.",https://drive.google.com/file/d/18BvwporBnJR5kWePW5UiD6-vciK3jr_R/preview,VC,"Chartmetric provides robust data, powerful visualizations, in-depth insights, unique tools, and rockstar customer service to help the music industry make smarter and faster choices. The platform compiles data on music consumption (including data from streaming and social media) in an easily consumable format for its 2,000+ customers, which include big record labels, live music promoters, independent musicians, and others.",Music,SaaS,B2C,chartmetric.com,Chartmetric,ST
Three Ships,"Three Ships Beauty is a vegan skincare brand used on a mission to make beauty products that are effective, natural, and affordable. Three Ships  raised $1M in 2021 with this deck.",$1M,2021,Seed,B2C,https://logo.clearbit.com/www.threeshipsbeauty.com,"Three Ships Beauty is a vegan, natural skincare brand co-founded by two 23-year-olds (Connie Lo and Laura Burget) in 2017. Burget and Lo started the company with just 4,000 Canadian dollars ($3,128) of their savings, after feeling frustrated with the challenges of finding natural and affordable skincare.Three Ships Beauty generated sales just shy of $4-million in Canada and the United States last year, and it forecasts $7-million in revenue for 2022. Today their products are sold online and in hundreds of retailers throughout North America, including Target, Whole Foods, Holt Renfrew, Indigo and the Hudsonâs Bay Co.Here's the pitch deck they used to raise $1 million in just two weeks from the CEO of Dyson and others.",https://drive.google.com/file/d/1Sbyo1PNdaxOiBcP7HOcIJ1QC34Y0vetT/preview?usp=drivesdk,"VC, Angels","Three Ships Beauty is a vegan skincare brand used on a mission to make beauty products that are effective, natural, and affordable.",Beauty,"eCommerce, Beauty, Fashion",B2C,www.threeshipsbeauty.com,Three Ships,ST
Awesome People Ventures Fund 2,"Awesome People Ventures is focused on minority investments from seed to late-stage in healthcare, wellness, software, artificial intelligence, and FoodTech startups. Awesome People Ventures Fund 2 raised $20M in 2021 with this deck.",$20M,2021,Fund 2,,https://logo.clearbit.com/www.awesomepeople.ventures,"Awesome People Ventures is focused on minority investments from seed to late-stage in healthcare, wellness, software, artificial intelligence, and FoodTech startups.The VC firm was founded by Julia Lipton and is backed by Marc Andreessen, Tom Lee (founder of One Medical) and top founders and operators. Julia previously founded Soundboard, an advising firm for Silicon Valley CEOs, prior to which, she led growth and product teams at companies like OneMedical and Quixey.Awesome People portfolio companies include ActionDesk, Copper, Peachy, Tango, Wingspan & more.",https://drive.google.com/file/d/184__xnqE6tV4KD3_DQY1I11v2j2yyjg2/preview?usp=drivesdk,Julia Lipton,Awesome People Ventures is an early-stage Web3 fund focused on how we live and work.,Venture Capital,"Web3, Healthcare, Wellness, Software, Artificial Intelligence, Food, FoodTech",www.awesomepeople.ventures,Awesome People Ventures Fund 2,,ST
Earl Grey Capital Fund II,"Earl Grey Capital is an early stage venture fund run by Amit Vasudev, Matt Sornson, and Alex MacCaw (co-founders of Clearbit). Earl Grey Capital Fund II raised $20M in 2022 with this deck.",$20M,2022,Fund 2,,https://logo.clearbit.com/earlgrey.capital,"Earl Grey Capital was founded by the founders of Clearbit to invest in the next wave of early-stage tech companies. The VC firm primarily invest in companies and projects building the foundational layers of the internet (ie. APIs, protocols, platforms, and web infrastructure) â both web2 and web3.Earl Grey's LP's include notable angel investors like Naval Ravikant, Josh Buckley, David Sacks, Josh Hannah, & JD Ross. Their portfolio includes startups backed by Sequoia & Tiger Global, such as Union54 and Truework.",https://drive.google.com/file/d/1ggo0hCvbyYclJ8CAT0KuxQaIPpwSuFqv/preview?usp=drivesdk,"Amit Vasudev, Matt Sornson, Alex MacCaw","Earl Grey Capital is an early stage venture fund run by Amit Vasudev, Matt Sornson, and Alex MacCaw (co-founders of Clearbit).",Venture Capital,"Web3, Web2, Software, Tech, Hardware",earlgrey.capital,Earl Grey Capital Fund II,,ST
Long Journey Ventures Fund I,"Long Journey Ventures is an SF-based early-stage venture capital firm focused on early and new investments, founded in 2019. Long Journey Ventures Fund I raised $35M in 2019 with this deck.",$35M,2019,Fund 1,,https://logo.clearbit.com/www.longjourney.vc,"Founded by former AngelList partner Lee Jacobs, Long Journey Ventures operates a unique model based around a federation of angel investors and operators.Every member of the Long Journey team has started a company and invested personal money into startups for close to a decade. The firm has invested in seed rounds across industries: ranging from healthcare to project management software.Long Journey has backed notable startups like Affirm, Notion, Loom, Uber, and SpaceX.",https://drive.google.com/file/d/1PfZv6yoD9q8Z1E73NlYuazD2kDMN0Lh8/preview?usp=drivesdk,"Lee Jacobs, Cyan Banister, Arielle Zuckerberg","Long Journey Ventures is an SF-based early-stage venture capital firm focused on early and new investments, founded in 2019.",Venture Capital,"Tech, Software, Hardware, Consumer",www.longjourney.vc,Long Journey Ventures Fund I,,ST
Not Boring Capital Fund I,Not Boring Capital Fund is a venture capital fund founded & managed by Packy McCormick. Not Boring Capital Fund I raised $5M in 2021 with this deck.,$5M,2021,Fund 1,,https://logo.clearbit.com/notboring.co,"Not Boring Capital launched it's first venture fund in 2021, investing mainly in Seed through Series B companies, with occasional pre-seed and growth-stage investments.Not Boring also operates an AngelList-based Syndicate, a twice weekly newsletter, and a podcast. They invested over $4 million in over twenty companies through the Not Boring Syndicate before launching an ""$8 million venture fund that invests in companies with stories to tell, and helps tell them"" in 2021.",https://drive.google.com/file/d/1cwYEoyE_DynHcG0fGiwujZFziezv4Sic/preview?usp=drivesdk,Packy McCormick,Not Boring Capital Fund is a venture capital fund founded & managed by Packy McCormick.,Venture Capital,"Tech, Software, Hardware, Consumer",notboring.co,Not Boring Capital Fund I,,ST
Precursor Fund III,Precursor Ventures is a generalist firm that invests in known and unknown areas of software and hardware Precursor Fund III  raised $40M in 2020 with this deck.,$40M,2020,Fund 3,,https://logo.clearbit.com/precursorvc.com,"Precursor Ventures is a seed-stage investment firm in San Francisco focused on business, consumer, hardware and technology sectors. Precursor is run by a single general partner, longtime VC Charles Hudson, formerly of Uncork Capital.Precursor used this deck to close its second fund with $31 million in capital commitments (roughly double what it raised for its debut fund in 2017). The first fund backed over 75 portfolio companies including notable startups like The Athletic, Juniper Square, and Carrot Fertility.",https://drive.google.com/file/d/1qmvoyP-hOoE1MAF5u2iHexu5d9aZSeNX/preview?usp=drivesdk,Charles Hudson,Precursor Ventures is a generalist firm that invests in known and unknown areas of software and hardware,Venture Capital,"Software, Hardware, Tech",precursorvc.com,Precursor Fund III,,ST
Shrug Capital IV,"Shrug Capital is an SF-based venture capital firm that invests in consumer-based startups, founded in 2018. Shrug Capital IV raised $54M in 2021 with this deck.",$54M,2021,Fund 1,,https://logo.clearbit.com/shrug.vc,"Shrug Capital is a San Francisco-based venture capital firm founded in 2018 by Niv Dror (former Head of Marketing at AngelList).Shrug Capital prefers to invest in early-stage consumer startups in entertainment, human capital, application software, hardware and social platform sectors. The firm has been backed by A-list investors like Banister, Chris and Crystal Sacca, Marc Andreessen, Chris Dixon, Amity Ventures, Social Capital, David Sacks, Keith Rabois, and Kevin Rose.Their notable investment portfolio includes Artie, Atoms, Cocoon, Daisie, Massless, Notify, Superplastic, Voiceflow, Wardrobe, Zestful, and more.",https://drive.google.com/file/d/1jTydVbp_LkDLgEckrZvBZTnITc5fT_8O/preview?usp=drivesdk,"Niv Dror, Moshe Lifschitz","Shrug Capital is an SF-based venture capital firm that invests in consumer-based startups, founded in 2018.",Venture Capital,"Consumer, VR, AR, Entertainment, HR, Software, SaaS, Hardware, Social",shrug.vc,Shrug Capital IV,,ST
Spacecadet Ventures,Spacecadet is a new-age marketing-focused venture capital firm that uses the power of storytelling to invest in the better future of startups. Spacecadet Ventures raised $15M in 2021 with this deck.,$15M,2021,Fund 1,,https://logo.clearbit.com/spacecadet.ventures,"Spacecadet Ventures not only invests in startups, but also provides them with a full suite of creative services, from brand strategy to marketing insights. The firm raised more than $10 million in investment using its innovative pitch deck and game concept.Spacecadet was founded by Wiz Abdulla and Daniel Eckler (both 2x exited founders with a strong background in marketing). In 2021, Spacecadet secured 37 deals investing over $5.9 million across a diverse range of companies involved in web3, metaverse, and education, including names like Ramp, Toucan, and Levels.The company is backed by LPs including Benjamin Ling, Bradley Horowitz, Charles Hudson, Leo Polovets, and Zach Weinberg",https://drive.google.com/file/d/1N_FhQFNojkJwthULlJNgunaf3HA1O6Er/preview,"Wiz, Daniel Eckler",Spacecadet is a new-age marketing-focused venture capital firm that uses the power of storytelling to invest in the better future of startups.,Venture Capital,"Software, Marketing, IT, Payments, Education, FinTech, Crypto, Web3",spacecadet.ventures,Spacecadet Ventures,,ST
